artist,title,label,catno,format,price,media_condition,sleeve_condition,weight,place
Albert Giménez,Escapada!,Filobus Records,X-1165,"LP, Album",30.0,Very Good Plus (VG+),Good Plus (G+),230,
Avengers,Avengers,Superior Viaduct,SV077,"LP, Comp, RE",20.0,Mint (M),Mint (M),230,
Bantam Rooster,Deal Me In,Crypt Records,Crypt 077,"LP, Album",8.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Basement 5,1965 - 1980,Phonogram,6313130,LP,20.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Chris Rea,Shamrock Diaries,Magnet (2),MAGL 5062,"LP, Album, Red",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
David Bowie,1. Outside (The Nathan Adler Diaries: A Hyper Cycle),Arista,74321 30339 4 ,"Cass, Album",5.0,Very Good Plus (VG+),Very Good Plus (VG+),65,
Deviated Instinct,Nailed,Prophecy Records (4),PRO 004,"12""",40.0,Very Good Plus (VG+),Good Plus (G+),230,
The Dictators,Bloodbrothers,Asylum Records,6E-147,"LP, Album, Promo, Spe",18.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Disastroid,Mortal Fools,Heavy Psych Sounds,HPS119,"LP, Album",22.0,Near Mint (NM or M-),Mint (M),230,
The Edgar Broughton Band,Wasa Wasa,"EMI, EMI Electrola",1C 038-04 083,"LP, Album, RE",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Electro Hippies,The Only Good Punk... Is A Dead One,Peaceville,VILE 02,"LP, Album, RP, Pin",20.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Eric Feremans,The Antwerp Killer,Finders Keepers Records,FKR087LP,"LP, RE",20.0,Mint (M),Mint (M),230,
Ether (2),Music For Air Raids V2.0,Rotorelief,ROTOR0012,"LP, Album, Ltd, Num",15.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Frank Zappa,Studio Tan,Discreet,59210,"LP, Album",18.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Hollywood Brats,The Hollywood Brats,Enfer Records,NW 2328,"LP, Album",35.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Hunters & Collectors,Hunters + Collectors,Virgin,205293,"LP, Album",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Ideku Dynasty,Ideku Dynasty,Safran,18301,"LP, Album",50.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Iron Maiden,No Prayer For The Dying,"EMI, EMI","268 7 95142 4, 7951424","Cass, Album",6.0,Near Mint (NM or M-),Very Good Plus (VG+),65,
Jean Cohen-Solal,Captain Tarthopom,SouffleContinu Records,FFL045 ,"LP, Album, RE, Cle",20.0,Mint (M),Mint (M),230,
Jean Guérin,Tacet,"SouffleContinu Records, Futura Records (2)","FFL009, SON 04","LP, RE",17.0,Mint (M),Mint (M),230,
King Crimson,Islands,Island Records,6396013,"LP, Album",25.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
King Crimson,Starless And Bible Black,Island Records,9101626,"LP, Album, Gat",20.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Kortatu,El Estado De Las Cosas,"Oihuka, Bondage International","O-149, BI 006","LP, Album",20.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Matt Bianco,Whose Side Are You On,"WEA, WEA","240 472-1, WX 7","LP, Album",8.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Mory Kanté,N'Diarabi,"Mandingo Productions, Mandingo Productions","MP 0000123, 0000 123","LP, Album",35.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
The Mothers,Fillmore East - June 1971,Reprise Records,REP 44150,"LP, Album, RE",20.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
New Race,The First And The Last,Line Records,LLP 5224,"LP, Album",20.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Nuclear Device (2),Tonnerre A La Une!,Bondage Records,RRR011,"LP, Album",18.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Paul Chaplain And His Emeralds,Mr. Nicotine,"White Label Records (7), White Label Records (7)","WLP 8915, WL 8915",LP,9.0,Very Good Plus (VG+),Very Good (VG),230,
The Pirates (3),Out Of Their Skulls,Warner Bros. Records,K 56411,"LP, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Raudive Bunker Experiment,Raudive Bunker Experiment,Youdonthavetocallitmusic,YouDo 04,"2xLP, Comp, Ltd, Num",15.0,Mint (M),Near Mint (NM or M-),460,
The Sillies (2),America's Most Wanton,Rocket Science Records (2),P066,"LP, Comp",22.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Skids,Scared To Dance,Virgin,2933768,"LP, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
So Much Hate,Blind Alley,X-Mist Records,XM 012,"LP, Album",16.0,Very Good Plus (VG+),Very Good (VG),230,
Tapper Zukie,M.P.L.A.,Kingston Sounds,KSLP042,"LP, Album, RE, 180",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
The Teenbeats,Surf Bound,Norton Records (2),ED-220,"LP, Comp",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Tom Verlaine,Cover,Virgin,70265,"LP, Album",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Various,At The Party!,"Candy Records (2), Candy Records (2)","Candy 001, 16804","LP, Comp",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Various,High School Rumble Vol 1 ,High School Rumble Records,HSR 999 1999,"LP, Comp",14.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Various,Too Much Goin' On - 16 Yellpin' Scalpin' Pow-Wowing Tunes,Candy Records (2),2,"LP, Comp",18.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Various,Trans-World Punk Rave-Up Volume One,Crypt Records,TW-64 LP,"LP, Comp, RE",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
The Vibrators,V2,"Epic, Epic","EPC 82495, S EPC 82495","LP, Album",30.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Antena,Life Is Too Short,New Dance,nd 011,"12""",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
The Art Ensemble Of Chicago,Live In Berlin,West Wind,WW 2051,"2xCD, Album, RP",15.0,Mint (M),Near Mint (NM or M-),170,
The Art Ensemble Of Chicago,Nice Guys,ECM Records,UCCE-9055,"CD, Album, Ltd, RE, Pap",50.0,Mint (M),Very Good Plus (VG+),85,
Aurelia Lewis Meets Lee Perry,Full Experience,Blue Moon Productions,BM 116,"12""",35.0,Very Good Plus (VG+),Very Good (VG),230,
The B-52's,Cosmic Thing,"Reprise Records, Reprise Records, Reprise Records","925 854-4, WX 283 C, WX283C","Cass, Album",8.0,Very Good Plus (VG+),Very Good Plus (VG+),65,
The Beatles,1967 - 1970 Vol.1 & Vol.2,Apple Records,2 C 242-05309/10,"2xCass, Comp, RE",5.0,Very Good Plus (VG+),Very Good (VG),130,
The Beatles,Volume 2,EMI,2C242-04174,"Cass, Album",10.0,Very Good Plus (VG+),Very Good Plus (VG+),65,
Blaine L. Reininger / Mikel Rouse,Colorado Suite,Music-Box,SMB 15021,"12"", MiniAlbum",15.0,Very Good Plus (VG+),Very Good (VG),230,
Blaine L. Reininger & Alain Goutier,Paris En Automne,Music-Box,M. BOX 15020,"12"", MiniAlbum",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Charles Mingus,The Great Concert Of Charles Mingus,"Universal Music Jazz France, EmArcy","980 691 - 3, 980 691 3","2xCD, RE, RM",25.0,Near Mint (NM or M-),Near Mint (NM or M-),170,
Chet Baker,1953-1974,"Columbia, Sony Music Media, Columbia, Sony Music Media","SMM5096102, 5096102000","CD, Comp, Dig",10.0,Mint (M),Near Mint (NM or M-),85,
Chet Baker,"Chet Baker Sings , Plays Live At The Keystone Korner","HighNote Records, Inc.",HCD 7112,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,
Chet Baker,Chet Baker With Fifty Italian Strings,"Original Jazz Classics, JAZZLAND","OJC20-492-2, JLP-921","CD, Album, RE, RM",8.0,Mint (M),Near Mint (NM or M-),85,
Chet Baker,Kind Of Baker,T2 Entertainment,9000,"10xCD, Album + Box, Comp",15.0,Mint (M),Near Mint (NM or M-),850,
Chet Baker,Quartet Featuring Dick Twardzik,Universal Music Jazz France,980 986-2,"CD, Album, RM",10.0,Mint (M),Near Mint (NM or M-),85,
The Chet Baker Quintet,Cool Burnin' With The Chet Baker Quintet,Prestige,PR20 7496-2,"CD, Album, RE, RM",10.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
"Choeurs Russes De La Cathédrale Saint Alexandre Nevsky, Paris , Direction Eugène Evetz",Anthologie De La Musique Orthodoxe Russe Vol. 1,Edici,ED 004 102,LP,10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Chris Isaak,Wicked Game,"Reprise Records, Reprise Records","WX 406C, 7599 26513-4","Cass, Comp",5.0,Near Mint (NM or M-),Near Mint (NM or M-),65,
Clifford Brown And Max Roach,Clifford Brown And Max Roach,Verve Records,543 306-2,"CD, Album, RE, RM, Dig",8.0,Mint (M),Very Good Plus (VG+),85,
Comus,To Keep From Crying,Virgin,V 2018,"LP, Album",30.0,Very Good Plus (VG+),Very Good (VG),230,
The Creatures,Anima Animus,"Instinct Records, Instinct Records","EX-413-2, EX413-2","CD, Album",10.0,Very Good Plus (VG+),Very Good Plus (VG+),85,
The Creatures,Hybrids,"Instinct Records, Sioux Records, Hydrogen Dukebox",INS.433.2,"CD, Comp",8.0,Very Good Plus (VG+),Very Good Plus (VG+),85,
Dave Brubeck,Time Was,Proper Records (2),PROPERBOX 90,"4xCD, Comp + Box",10.0,Mint (M),Very Good Plus (VG+),340,
David Bowie,David Bowie,Decca,261011/12,"2xLP, Comp",25.0,Very Good Plus (VG+),Very Good Plus (VG+),460,
David Bowie,Diamond Dogs,"EMI, EMI","7243 5 77857 2 3, 577 8572","2xCD, Album, RE, RM, 30t",20.0,Very Good Plus (VG+),Near Mint (NM or M-),170,
Double Nelson,Des Nouvelles Du Fond,Cobalt,09270-2,"CD, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),85,
Double Nelson,Des Nouvelles Du Fond,Cobalt,09270-2,"CD, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),85,
The Easybeats,Who'll Be The One / Lisa,United Artists Records,38.004 UAF,"7"", Jukebox, Promo",25.0,Very Good (VG),Generic,60,
Faith No More,Angel Dust,"Slash, London Records",828 321-4,"Cass, Album",5.0,Good Plus (G+),Very Good Plus (VG+),65,
Françoise Hardy,Love Songs,WEA,242 220-4,"Cass, Comp",15.0,Near Mint (NM or M-),Very Good Plus (VG+),65,
Frank Zappa,Hot Rats,Rykodisc,VACK-1209,"CD, Album, Ltd, RE, RM, Pap",25.0,Mint (M),Near Mint (NM or M-),85,
Frank Zappa,Zappa In New York,Rykodisc,RCD 10524/25,"2xCD, Album, RE",12.0,Mint (M),Very Good Plus (VG+),170,
Frank Zappa / The Mothers,Roxy & Elsewhere,Rykodisc,RCD 10520,"CD, Album, RE, RM, RP",8.0,Mint (M),Near Mint (NM or M-),85,
Frank Zappa And The Mothers,One Size Fits All,Rykodisc,RCD 10521,"CD, Album, RE, RM",15.0,Mint (M),Near Mint (NM or M-),85,
The Freak Accident,The Freak Accident,Alternative Tentacles Records,VIRUS 326,"CD, Album",10.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Gravy Train,Staircase To The Day,Dawn (7),DNLH 1,"LP, Album, Gat",90.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Hector Zazou,Géographies,"Music-Box, Crammed Discs","SMB 40280, MTM 5 LP","LP, Album",12.0,Very Good Plus (VG+),Very Good (VG),230,
Hector Zazou,Reivax Au Bongo,Music-Box,SMB 40312,"LP, Album",14.0,Very Good Plus (VG+),Good Plus (G+),230,
Herbie Hancock,Secrets,Columbia,CK 34280,"CD, Album, RE",6.0,Mint (M),Near Mint (NM or M-),85,
Jacob Desvarieux,Oh Madiana,Disco-Deal,CCD 113,LP,24.0,Very Good Plus (VG+),Very Good (VG),230,
Krokus,One Vice At A Time,"Ariola, Arista",404400,"Cass, Album",5.0,Very Good Plus (VG+),Very Good (VG),65,
Les Satellites,4,Squatt,SQT 474563 4,"Cass, Album",6.0,Mint (M),Mint (M),65,
Little Walter,Confessin' The Blues,"Chess, Chess","MCD 09366, 329 366-2","CD, Comp, RM",14.0,Near Mint (NM or M-),Very Good (VG),85,
Madness,Complete Madness,Virgin,70447,"LP, Comp, RE",12.0,Very Good (VG),Very Good Plus (VG+),230,
Mano Negra,Patchanka,Virgin,50724,"Cass, RE",7.0,Very Good Plus (VG+),Near Mint (NM or M-),65,
Max Roach,Drums Unlimited,"Atlantic, Rhino Records (2), Warner Strategic Marketing",8122-73758-2,"CD, Album, RE, RM",6.0,Mint (M),Very Good Plus (VG+),85,
Max Roach,Parisian Sketches,Gitanes Jazz Productions,589 963-2,"CD, Album, RE, RM",10.0,Mint (M),Near Mint (NM or M-),85,
Max Roach,We Insist! Max Roach's Freedom Now Suite,Candid,CCD 9002,"CD, Album, RE",11.0,Mint (M),Very Good Plus (VG+),85,
Miles Davis,Circle In The Round,"Columbia, Columbia","467898 2, COL 467898 2","2xCD, Comp, RE, RM",8.0,Near Mint (NM or M-),Very Good Plus (VG+),170,
Miles Davis,Pangaea,"Columbia, Legacy",C2K 46115,"2xCD, Album, RE",10.0,Near Mint (NM or M-),Very Good Plus (VG+),170,
Miles Davis & John Coltrane,Live In Stockholm 1960,MPO,2 CD 47 2004,"2xCD, RE",12.0,Mint (M),Very Good Plus (VG+),170,
Minimal Compact,Raging Souls,Virgin,VG50189,"LP, Album",15.0,Very Good Plus (VG+),Very Good (VG),230,
New Order,Brotherhood,Rough Trade,RTD 42,"LP, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Robert Wyatt,Rock Bottom,Virgin,2933715,"LP, Album, RE, Red",25.0,Near Mint (NM or M-),Very Good (VG),230,
"Shadhili, Sufi (5)",Musique Soufi Vol. 4 - Al Hadra ,Arion,ARN 33658,"LP, Album",10.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Steven Brown,Composés Pour Le Théâtre Et Le Cinéma,Music Box International,MBI 40394,"LP, Album",12.0,Very Good Plus (VG+),Good Plus (G+),230,
Steven Brown,La Grâce Du Tombeur,LTM (4),LTM 2304,"LP, Album",20.0,Very Good (VG),Very Good Plus (VG+),230,
Steven Brown,Searching For Contact,"Play It Again Sam Records, Play It Again Sam Records","BiaS 55, bias 55","LP, Album",8.0,Good Plus (G+),Very Good (VG),230,
U2,Achtung Baby,Island Records,510 347-4,"Cass, Album",5.0,Near Mint (NM or M-),Near Mint (NM or M-),65,
Various,"""Keep On Coming Through The Door…""  Jamaican Deejay Music 1969 - 1973","Trojan Records, Trojan Records","TRLS 255, TRS 255","LP, Comp",18.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Various,Barnyard Soul!,Deep Groove Records (3),DG 11101CD,"CD, Comp",13.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Various,"Belgique - Belgie: Ballades, Danses Et Chansons De Flandre Et Wallonie",Ocora,558.594,"LP, Album",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Various,Introducin' A Bad Mutha ... Shaftman! (Come With Shaftman To Soultown),Funky Finger (2),none,"CD, Comp, Unofficial",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Various,Musique Populaire Traditionnelle D'Iraq,Ocora,OCR 55,"LP, Comp, Mono",10.0,Very Good (VG),Very Good (VG),230,
Various,Reggae,Sony BMG Music Entertainment,886971254624,"10xCD, Comp",10.0,Mint (M),Mint (M),850,
Various,Rockin' In The '50s,White Label Records (7),WLP 8839,"LP, Comp",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Various,The Socker!,Continental (11),Sock-It-1967,"CD, Comp",12.0,Very Good Plus (VG+),Very Good Plus (VG+),85,
The Wailers,The Best Of The Wailers,"JAD, Universal, Beverley's Records",602498668054,"CD, Album, RE, RM",9.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Wire,154,Restless Retro,7 72362-2,"CD, Album, RE",15.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Anthony Braxton,12+1tet (Victoriaville) 2007,Les Disques Victo,VICTO CD 109,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
Anthony Braxton,Quartet (Moscow) 2008,Leo Records,CD LR 518,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,
Anthony Braxton,Town Hall (Trio & Quintet) 1972,hatOLOGY,hatOLOGY 685,"CD, Album, RE, RM",15.0,Mint (M),Near Mint (NM or M-),85,
Anthony Braxton,Trio (Glasgow) 2005,Leo Records,CD LR 487/488,"2xCD, Album",12.0,Near Mint (NM or M-),Very Good Plus (VG+),170,
Anthony Braxton - Gerry Hemingway,Old Dogs (2007),Mode Avant,9/12,"4xCD, Album",25.0,Mint (M),Near Mint (NM or M-),340,
Anthony Braxton & Joe Fonda,Duets 1995,Clean Feed,CF079CD,"CD, Album, RE",8.0,Mint (M),Very Good Plus (VG+),85,
Anthony Braxton + Duke Ellington,Concept Of Freedom,hatOLOGY,hatOLOGY 614,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,
Archie Shepp,I Know About The Life,hatOLOGY,hatOLOGY 598,"CD, Album, RE, RM",8.0,Mint (M),Very Good Plus (VG+),85,
Bobo Stenson,Selected Recordings,ECM Records,014 214-2,"CD, Comp, Dig",11.0,Mint (M),Near Mint (NM or M-),85,
Bobo Stenson / Anders Jormin / Paul Motian,Goodbye,"ECM Records, ECM Records","ECM 1904, 982 5173","CD, Album",10.0,Mint (M),Very Good Plus (VG+),85,
Carla Bley,The Lost Chords Find Paolo Fresu,"WATT (2), ECM Records","WATT/34, 173 7750","CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
Charles Mingus,Mingus Mingus Mingus Mingus Mingus,"Impulse!, Impulse!","IMP 11702, 051 170-2","CD, RM, Tri",15.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Charlie Parker,Rétrospective 1940-1953,Saga,982 765-6,"3xCD, Comp + Box",14.0,Mint (M),Near Mint (NM or M-),255,
Chick Corea,Selected Recordings,ECM Records,014 200-2,"CD, Comp, RM",11.0,Mint (M),Near Mint (NM or M-),85,
Coleman Hawkins,The Bebop Years,Proper Records (2),PROPERBOX 14,"4xCD, Comp + Box",15.0,Mint (M),Very Good Plus (VG+),340,
Dave Holland Big Band,Overtime,Dare2 Records,982 714 2,"CD, Album",6.0,Mint (M),Near Mint (NM or M-),85,
"David Holland Quartet - Dave Holland, Sam Rivers, Anthony Braxton, Barry Altschul",Conference Of The Birds,"ECM Records, ECM Records","ECM 1027, 829 373-2","CD, Album, RE",15.0,Mint (M),Near Mint (NM or M-),85,
"David Liebman, Ellery Eskelin, Tony Marino, Jim Black",Different But The Same,hatOLOGY,hatOLOGY 615,"CD, Album",14.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Dexter Gordon,Dexter Blows Hot And Cool,Boplicity Records,CDBOP 006,"CD, Album, Mono, RE",15.0,Mint (M),Near Mint (NM or M-),85,
Enrico Rava,The Complete Remastered Recordings On Black Saint & Soul Note,"Black Saint, Soul Note",BXS 1002,"5xCD, Album, RE, RM + Box, Comp",35.0,Near Mint (NM or M-),Very Good Plus (VG+),425,
Fred Frith / John Zorn,The Art Of Memory II,"ReR Megacorp, Fred Records",ReR/FRA 06,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,
Gary Burton,Selected Recordings,ECM Records,014 195-2,"CD, Comp, RM",9.0,Mint (M),Near Mint (NM or M-),85,
Jan Garbarek,Selected Recordings,ECM Records,440 014 165-2,"2xCD, Comp, RM",10.0,Mint (M),Near Mint (NM or M-),170,
Jazzensemble Des Hessischen Rundfunks,Unauffällige Festansage,Jazzwerkstatt,JW042,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,
Jeff Beck,Wired,Epic,469013 2,"CD, Album, RE",7.0,Mint (M),Near Mint (NM or M-),85,
Jim Hall,Concierto,"Legacy, Legacy, Legacy, Epic, Epic, Epic, CTI Records, CTI Records, CTI Records","5060252, 506025 2, 5060252000","CD, Album, RE, RM",6.0,Mint (M),Very Good Plus (VG+),85,
The Jimmy Giuffre Trio,1961,"ECM Records, ECM Records","ECM 1438/39, 849 644-2","CD, Album, RE, RM + CD, Album, RE, RM + Comp",20.0,Mint (M),Very Good Plus (VG+),170,
Joachim Kühn / Daniel Humair / J.-F. Jenny-Clark,Die Dreigroschenoper - L'Opera De Quat' Sous - The Threepenny Opera,Verve Records,VERVE 532 498-2,"CD, Album",6.0,Mint (M),Very Good Plus (VG+),85,
Joe Sachse Duos David Moss / George Lewis,Berlin Tango,"Jazzwerkstatt, Jazzwerkstatt","jw006, jazzwerkstatt 006","CD, Album, RE",10.0,Mint (M),Very Good Plus (VG+),85,
John Zorn,Femina,Tzadik,TZ 7377,"CD, Album",19.0,Mint (M),Near Mint (NM or M-),85,
John Zorn,From Silence To Sorcery,Tzadik,TZ 8035,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,
John Zorn,Nova Express,Tzadik,TZ 7389,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
John Zorn,The Satyr's Play / Cerberus,Tzadik,TZ 7390,"CD, Album",17.0,Mint (M),Near Mint (NM or M-),85,
Jordi Savall,Tous Les Matins Du Monde (Bande Originale Du Film),"Alia Vox, Alia Vox","AVSA9821, AVSA 9821","SACD, Hybrid, Multichannel, Album, RE",20.0,Mint (M),Very Good Plus (VG+),85,
Keith Jarrett,Selected Recordings,ECM Records,014 168-2,"2xCD, Comp",12.0,Mint (M),Very Good Plus (VG+),170,
Leon Thomas,Full Circle,"Bluebird (3), RCA Victor, Flying Dutchman",9026638752,"CD, Album, RE, Dig",6.0,Mint (M),Very Good Plus (VG+),85,
Louis Armstrong,Louis Armstrong (Laser Plus 5),BMG Ariola France,ND 90331,"CD, Comp",5.0,Mint (M),Near Mint (NM or M-),85,
Louis Armstrong,Louis Armstrong Vol. I,Columbia,COL 467145 2,"CD, Comp",5.0,Mint (M),Near Mint (NM or M-),85,
Luther Allison,Hand Me Down My Moonshine,in-akustik,INAK 9015 CD,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,
Luther Allison,Standing At The Crossroad,Black And Blue,BB 421.2,"CD, Album, RE, RM, Dig",12.0,Mint (M),Near Mint (NM or M-),85,
Marcus Miller,M²,Dreyfus Jazz,FDM 36623-2,"CD, Album, Dig",7.0,Mint (M),Very Good Plus (VG+),85,
Marcus Miller,Tales,Dreyfus Jazz,FDM 36571-2,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,
Marcus Miller,The Sun Don’t Lie,Dreyfus Jazz,FDM 36560-2,"CD, Album, RE",7.0,Mint (M),Very Good Plus (VG+),85,
Michel Portal,Birdwatcher,"Universal Music France, EmArcy",984 556 3,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,
Miles Davis,Ascenseur Pour L'Échafaud (Lift To The Scaffold),Fontana,836 305-2,"CD, Album, RE, RP, Com",12.0,Mint (M),Near Mint (NM or M-),85,
Miles Davis,Bags Groove,"Prestige, Prestige, Original Jazz Classics","CA 98402, 98.402","CD, Album, RE",13.0,Mint (M),Near Mint (NM or M-),85,
Miles Davis,Miles In The Sky,"Columbia, Legacy",CK 65684,"CD, Album, RE, RM",5.0,Mint (M),Near Mint (NM or M-),85,
Miles Davis,Milestones,"Columbia, Legacy, Sony Music Media",SMM 504696 2,"CD, Album, RE, RM, Dig",10.0,Mint (M),Near Mint (NM or M-),85,
The Miles Davis Quintet,Steamin' With The Miles Davis Quintet,"Original Jazz Classics, Prestige","OJCCD-391-2, P-7200","CD, Album, RE, RM",7.0,Mint (M),Near Mint (NM or M-),85,
"Paul Bley, Franz Koglmann, Gary Peacock",Annette,hatOLOGY,hatOLOGY 674,"CD, Album, RE",15.0,Mint (M),Near Mint (NM or M-),85,
Pierre Michelot,Bass & Bosses,EmArcy,842 531-2,"CD, Album",8.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Ran Blake & Anthony Braxton,A Memory Of Vienna,hatOLOGY,hatOLOGY 687,"CD, Album, RE, RM, RP",14.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Robedoor,New Age Sewage,Hands In The Dark,HITD 031,"LP, Album",18.0,Mint (M),Mint (M),230,
Scolohofo,Oh!,Blue Note,7243 5 42081 2 6,"CD, Album",5.0,Mint (M),Near Mint (NM or M-),85,
Steve Lacy / Steve Potts,Live In Budapest,West Wind,WW 2011,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,
"Steve Lacy Five Pianists Marilyn Crispell, Misha Mengelberg, Ulrich Gumpert, Fred Van Hove, Vladimir Miller",Five Facings,Jazzwerkstatt,jw025,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,
Steve Lacy-Roswell Rudd Quartet,Early And Late,Cuneiform Records,Rune 250/251,"2xCD, Album",15.0,Mint (M),Near Mint (NM or M-),170,
The Sun Ra Arkestra,Sunrise In Different Dimensions,hatOLOGY,hatOLOGY 698,"CD, Album, RE",12.0,Mint (M),Near Mint (NM or M-),85,
Vienna Art Orchestra,A Notion In Perpetual Motion,hatOLOGY,hatOLOGY 679,"CD, Album, RE",12.0,Mint (M),Near Mint (NM or M-),85,
World Saxophone Quartet,Yes We Can,Jazzwerkstatt,jw098,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,
Albert Ayler,New Grass,Impulse!,B0004269-02,"CD, Album, Ltd, RE, RM",12.0,Mint (M),Very Good Plus (VG+),85,
"Alessandro Scarlatti, Bernarda Fink • Graciela Oddone • Dorothea Röschmann • Richard Croft • René Jacobs • Antonio Abete • Akademie Für Alte Musik Berlin, René Jacobs",Il Primo Omicidio,"Harmonia Mundi France, Harmonia Mundi",HMC901649.50,"2xCD, Box",14.0,Mint (M),Near Mint (NM or M-),170,
Bill Evans,California Here I Come,"Verve Records, Verve Records","0602498625729, VE2-2545","CD, Album, Ltd, RE, RM, RP, Dig",8.0,Mint (M),Near Mint (NM or M-),85,
Bill Evans,You Must Believe In Spring,"Warner Bros. Records, Warner Jazz, Warner Strategic Marketing",7599-23504-9,"CD, Album, RE, Dig",15.0,Mint (M),Near Mint (NM or M-),85,
The Bill Evans Trio,Everybody Digs Bill Evans,"Original Jazz Classics, Riverside Records","OJC20 068-2, RLP-1129","CD, Album, RE, RM, Dig",9.0,Mint (M),Near Mint (NM or M-),85,
The Bill Evans Trio Featuring Scott LaFaro,Sunday At The Village Vanguard,"Original Jazz Classics, Riverside Records","OJC20 140-2, 9376","CD, Album, RE, RM, Dig",9.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Carlos Santana / John McLaughlin,Love Devotion Surrender,"Columbia, Columbia, Columbia","468871 2, COL 468871 2, 01-468871-10","CD, Album, RE",13.0,Mint (M),Near Mint (NM or M-),85,
Charles Mingus,Mingus Ah Um,"Columbia, Legacy",C3K 065145,"CD, Album, RE, RM",6.0,Mint (M),Near Mint (NM or M-),85,
Charles Mingus,Mingus Dynasty,"Columbia, Columbia","COL 473904 2, 473904 2","CD, Album, RE, RM",7.0,Mint (M),Near Mint (NM or M-),85,
Charles Mingus,Tijuana Moods,"RCA, BMG",74321257702,"CD, Album, RE, RM",5.0,Mint (M),Near Mint (NM or M-),85,
Charlie Parker,Swedish Schnapps + The Great Quintet Sessions 1949-51,Verve Records,849 393-2,"CD, Comp, RE",8.0,Mint (M),Near Mint (NM or M-),85,
Chet Baker,"Chet Baker Sings And Plays From The Film ""Let's Get Lost""","Novus, RCA, BMG",PD83054,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,
